Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
FFN1, 1, 1, 1, 1, 512, 2048, 1,
FFN2, 1, 1, 1, 1, 2048, 512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
FFN1, 1, 1, 1, 1, 512, 2048, 1,
FFN2, 1, 1, 1, 1, 2048, 512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
FFN1, 1, 1, 1, 1, 512, 2048, 1,
FFN2, 1, 1, 1, 1, 2048, 512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
FFN1, 1, 1, 1, 1, 512, 2048, 1,
FFN2, 1, 1, 1, 1, 2048, 512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
Attn_QxK', 1, 64, 1, 1, 1, 64, 1,
Attn_SFMXxV, 1, 64, 1, 1, 64, 1, 1,
Attn_Concat_map, 1, 1, 1, 1, 512 ,512, 1,
Attn_Xmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Kmap,1, 1, 1, 1, 512, 64, 1, 
Attn_Qmap,1, 1, 1, 1, 512, 64, 1, 
